Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_dds_top.uut.u_sine_output.u_blk_mem.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_12_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time:                    0 | DAC Data: xxxx
Time:              3109000 | DAC Data: 1c00
Time:              3119000 | DAC Data: 1a08
Time:              3129000 | DAC Data: 1810
Time:              3139000 | DAC Data: 1620
Time:              3149000 | DAC Data: 1440
Time:              3159000 | DAC Data: 1268
Time:              3169000 | DAC Data: 1098
Time:              3179000 | DAC Data: 0ee0
Time:              3189000 | DAC Data: 0d38
Time:              3199000 | DAC Data: 0ba0
Time:              3209000 | DAC Data: 0a18
Time:              3219000 | DAC Data: 08b8
Time:              3229000 | DAC Data: 0760
Time:              3239000 | DAC Data: 0620
Time:              3249000 | DAC Data: 0500
Time:              3259000 | DAC Data: 0400
Time:              3269000 | DAC Data: 0310
Time:              3279000 | DAC Data: 0248
Time:              3289000 | DAC Data: 0198
Time:              3299000 | DAC Data: 0108
Time:              3309000 | DAC Data: 0098
Time:              3319000 | DAC Data: 0048
Time:              3329000 | DAC Data: 0018
Time:              3339000 | DAC Data: 0008
Time:              3349000 | DAC Data: 0018
Time:              3359000 | DAC Data: 0048
Time:              3369000 | DAC Data: 0098
Time:              3379000 | DAC Data: 0108
Time:              3389000 | DAC Data: 0198
Time:              3399000 | DAC Data: 0248
Time:              3409000 | DAC Data: 0310
Time:              3419000 | DAC Data: 0400
Time:              3429000 | DAC Data: 0500
Time:              3439000 | DAC Data: 0620
Time:              3449000 | DAC Data: 0760
Time:              3459000 | DAC Data: 08b8
Time:              3469000 | DAC Data: 0a18
Time:              3479000 | DAC Data: 0ba0
Time:              3489000 | DAC Data: 0d38
Time:              3499000 | DAC Data: 0ee0
Time:              3509000 | DAC Data: 1098
Time:              3519000 | DAC Data: 1268
Time:              3529000 | DAC Data: 1440
Time:              3539000 | DAC Data: 1620
Time:              3549000 | DAC Data: 1810
Time:              3559000 | DAC Data: 1a08
Time:              3569000 | DAC Data: 1c00
Time:              3579000 | DAC Data: 2200
Time:              3589000 | DAC Data: 2000
Time:              3599000 | DAC Data: 2200
Time:              3609000 | DAC Data: 2400
Time:              3619000 | DAC Data: 25f8
Time:              3629000 | DAC Data: 27f0
Time:              3639000 | DAC Data: 29e0
Time:              3649000 | DAC Data: 2bc0
Time:              3659000 | DAC Data: 2d98
Time:              3669000 | DAC Data: 2f68
Time:              3679000 | DAC Data: 3120
Time:              3689000 | DAC Data: 32c8
Time:              3699000 | DAC Data: 3460
Time:              3709000 | DAC Data: 35e8
Time:              3719000 | DAC Data: 3748
Time:              3729000 | DAC Data: 38a0
Time:              3739000 | DAC Data: 39e0
Time:              3749000 | DAC Data: 3b00
Time:              3759000 | DAC Data: 3c00
Time:              3769000 | DAC Data: 3cf0
Time:              3779000 | DAC Data: 3db8
Time:              3789000 | DAC Data: 3e68
Time:              3799000 | DAC Data: 3ef8
Time:              3809000 | DAC Data: 3f68
Time:              3819000 | DAC Data: 3fb8
Time:              3829000 | DAC Data: 3fe8
Time:              3839000 | DAC Data: 3ff8
Time:              3849000 | DAC Data: 3fe8
Time:              3859000 | DAC Data: 3fb8
Time:              3869000 | DAC Data: 3f68
Time:              3879000 | DAC Data: 3ef8
Time:              3889000 | DAC Data: 3e68
Time:              3899000 | DAC Data: 3db8
Time:              3909000 | DAC Data: 3cf0
Time:              3919000 | DAC Data: 3c00
Time:              3929000 | DAC Data: 3b00
Time:              3939000 | DAC Data: 39e0
Time:              3949000 | DAC Data: 38a0
Time:              3959000 | DAC Data: 3748
Time:              3969000 | DAC Data: 35e8
Time:              3979000 | DAC Data: 3460
Time:              3989000 | DAC Data: 32c8
Time:              3999000 | DAC Data: 3120
Time:              4009000 | DAC Data: 2f68
Time:              4019000 | DAC Data: 2d98
Time:              4029000 | DAC Data: 2bc0
Time:              4039000 | DAC Data: 29e0
Time:              4049000 | DAC Data: 27f0
Time:              4059000 | DAC Data: 25f8
Time:              4069000 | DAC Data: 2400
Time:              4079000 | DAC Data: 1e00
Time:              4089000 | DAC Data: 2000
Time:              4099000 | DAC Data: 1e00
Time:              4109000 | DAC Data: 1c00
Time:              4119000 | DAC Data: 1a08
Time:              4129000 | DAC Data: 1810
Time:              4139000 | DAC Data: 1620
Time:              4149000 | DAC Data: 1440
Time:              4159000 | DAC Data: 1268
Time:              4169000 | DAC Data: 1098
Time:              4179000 | DAC Data: 0ee0
Time:              4189000 | DAC Data: 0d38
Time:              4199000 | DAC Data: 0ba0
Time:              4209000 | DAC Data: 0a18
Time:              4219000 | DAC Data: 08b8
Time:              4229000 | DAC Data: 0760
Time:              4239000 | DAC Data: 0620
Time:              4249000 | DAC Data: 0500
Time:              4259000 | DAC Data: 0400
Time:              4269000 | DAC Data: 0310
Time:              4279000 | DAC Data: 0248
Time:              4289000 | DAC Data: 0198
Time:              4299000 | DAC Data: 0108
Time:              4309000 | DAC Data: 0098
Time:              4319000 | DAC Data: 0048
Time:              4329000 | DAC Data: 0018
Time:              4339000 | DAC Data: 0008
Time:              4349000 | DAC Data: 0018
Time:              4359000 | DAC Data: 0048
Time:              4369000 | DAC Data: 0098
Time:              4379000 | DAC Data: 0108
Time:              4389000 | DAC Data: 0198
Time:              4399000 | DAC Data: 0248
Time:              4409000 | DAC Data: 0310
Time:              4419000 | DAC Data: 0400
Time:              4429000 | DAC Data: 0500
Time:              4439000 | DAC Data: 0620
Time:              4449000 | DAC Data: 0760
Time:              4459000 | DAC Data: 08b8
Time:              4469000 | DAC Data: 0a18
Time:              4479000 | DAC Data: 0ba0
Time:              4489000 | DAC Data: 0d38
Time:              4499000 | DAC Data: 0ee0
Time:              4509000 | DAC Data: 1098
Time:              4519000 | DAC Data: 1268
Time:              4529000 | DAC Data: 1440
Time:              4539000 | DAC Data: 1620
Time:              4549000 | DAC Data: 1810
Time:              4559000 | DAC Data: 1a08
Time:              4569000 | DAC Data: 1c00
Time:              4579000 | DAC Data: 2200
Time:              4589000 | DAC Data: 2000
